id,osmId,osm_type,name,type,capacity,occupancy,duration,resort,latitude,longitude
4500,11817356053,node,,pylon,,,,,46.3497218,11.5440969
4501,11817356054,node,,pylon,,,,,46.3499942,11.5448328
4502,11817356055,node,,pylon,,,,,46.3502627,11.5455576
4503,11817356056,node,,pylon,,,,,46.3506877,11.5467056
4504,11817356057,node,,pylon,,,,,46.3514115,11.5486602
4505,11817356058,node,,pylon,,,,,46.3511256,11.5478881
4506,11834859243,node,,pylon,,,,,46.8430041,11.684923
4507,11834859244,node,,pylon,,,,,46.8422405,11.6848311
4508,11834859260,node,,pylon,,,,,46.8393824,11.6844548
4509,11834859261,node,,pylon,,,,,46.8408588,11.6846391
4510,11834859262,node,,pylon,,,,,46.8361445,11.6840515
4511,11834859263,node,,pylon,,,,,46.8377387,11.6842524
4512,11875905569,node,,pylon,,,,,46.5624292,11.5688053
4513,11875905581,node,,pylon,,,,,46.5629961,11.5666355
4514,11875905582,node,,pylon,,,,,46.5626254,11.5680542
4515,11875905583,node,,pylon,,,,,46.563412,11.5650437
4516,11875905584,node,,pylon,,,,,46.5637553,11.56373
4517,11903255630,node,,pylon,,,,,46.4428541,11.5939531
4518,11903255631,node,,pylon,,,,,46.4423894,11.5958215
4519,11903255632,node,,pylon,,,,,46.4418799,11.5978701
4520,11903255633,node,,pylon,,,,,46.4414639,11.5995426
4521,11903255634,node,,pylon,,,,,46.4432452,11.5923806
4522,11903255635,node,,pylon,,,,,46.4437849,11.5902855
4523,11903255636,node,,pylon,,,,,46.4438927,11.5898608
4524,11920061542,node,,pylon,,,,,46.1430686,11.0362595
4525,11920061543,node,,pylon,,,,,46.1441024,11.0335091
4526,11920061569,node,,pylon,,,,,46.1525387,11.0243101
4527,11920061582,node,,pylon,,,,,46.1560577,11.0121693
4528,11973689750,node,,pylon,,,,,46.3558863,11.6863324
4529,11975179495,node,,pylon,,,,,46.4300013,11.7164744
4530,11978031891,node,,pylon,,,,,46.2849303,11.4655839
4531,11978031892,node,,pylon,,,,,46.2849847,11.4654059
4532,11978031893,node,,pylon,,,,,46.2850328,11.4652485
4533,11978867794,node,,pylon,,,,,46.4338747,11.7353528
4534,11978867809,node,,pylon,,,,,46.431438,11.7282492
4535,11979047759,node,,pylon,,,,,46.3814235,11.7848781
4536,11979047760,node,,pylon,,,,,46.3812729,11.784701
4537,11979047761,node,,pylon,,,,,46.3789134,11.7811041
4538,11979047762,node,,pylon,,,,,46.3829645,11.7834592
4539,11979047764,node,,pylon,,,,,46.3819376,11.7851825
4540,11979047765,node,,pylon,,,,,46.3808053,11.784512
4541,11979047766,node,,pylon,,,,,46.3803478,11.7842633
4542,11979047767,node,,pylon,,,,,46.3800794,11.7841173
4543,11979047768,node,,pylon,,,,,46.3793056,11.7836967
4544,11980158536,node,,pylon,,,,,46.8171132,11.6631263
4545,11980158537,node,,pylon,,,,,46.8166029,11.6638996
4546,11980158538,node,,pylon,,,,,46.81835,11.6612517
4547,11992295288,node,,pylon,,,,,46.4516296,11.7795432
4548,11992705826,node,,pylon,,,,,46.3678352,11.5311352
4549,11992705827,node,,pylon,,,,,46.3685073,11.5313525
4550,11992705828,node,,pylon,,,,,46.3700624,11.5318552
4551,11992705829,node,,pylon,,,,,46.3716628,11.5323726
4552,12010341281,node,,pylon,,,,,46.0379987,11.0409403
4553,12010341282,node,,pylon,,,,,46.038694,11.0399975
4554,12010341283,node,,pylon,,,,,46.0395382,11.0388527
4555,12015166626,node,,pylon,,,,,46.8108397,11.1052236
4556,12015166628,node,,pylon,,,,,46.8125245,11.1047105
4557,12031334113,node,,pylon,,,,,46.790044,11.1729325
4558,12031495462,node,,pylon,,,,,46.7959603,11.1648731
4559,12044678484,node,,pylon,,,,,46.8359914,11.2232537
4560,12066871424,node,,pylon,,,,,46.8451268,11.2281525
4561,12066871425,node,,pylon,,,,,46.8448909,11.2275461
4562,12066871426,node,,pylon,,,,,46.8444375,11.2264164
4563,12079044066,node,,pylon,,,,,46.6715347,11.2479092
4564,12079044067,node,,pylon,,,,,46.6723289,11.2488748
4565,12079044068,node,,pylon,,,,,46.6732928,11.2500436
4566,12079058169,node,,pylon,,,,,46.6744748,11.2514833
4567,12079058170,node,,pylon,,,,,46.6755164,11.2527499
4568,12079058171,node,,pylon,,,,,46.6771966,11.2547857
4569,12079058172,node,,pylon,,,,,46.6769689,11.2545115
4570,12079058173,node,,pylon,,,,,46.6764269,11.253859
4571,12090983049,node,,pylon,,,,,46.6770208,11.2548369
4572,12092475894,node,,pylon,,,,,46.6824699,11.2636853
4573,12092475895,node,,pylon,,,,,46.6853637,11.2723192
4574,12092475896,node,,pylon,,,,,46.6850538,11.2713516
4575,12092475897,node,,pylon,,,,,46.6849172,11.2709277
4576,12092475898,node,,pylon,,,,,46.6846291,11.270016
4577,12092475899,node,,pylon,,,,,46.6839491,11.2678947
4578,12092475900,node,,pylon,,,,,46.683437,11.2663081
4579,12092475901,node,,pylon,,,,,46.6830548,11.2651089
4580,12092475902,node,,pylon,,,,,46.6828392,11.2644259
4581,12092475903,node,,pylon,,,,,46.6822541,11.2633839
4582,12092475904,node,,pylon,,,,,46.6816418,11.2625753
4583,12092475905,node,,pylon,,,,,46.6810097,11.26173
4584,12092475906,node,,pylon,,,,,46.6801736,11.2606
4585,12092475907,node,,pylon,,,,,46.6792792,11.2593996
4586,12092475908,node,,pylon,,,,,46.6783102,11.258088
4587,12092475909,node,,pylon,,,,,46.6777303,11.2573051
4588,12111214419,node,,pylon,,,,,46.5296847,10.5533304
4589,12111214420,node,,pylon,,,,,46.5282635,10.5615282
4590,12143793976,node,,pylon,,,,,46.3245013,11.6986008
4591,12185037730,node,,pylon,,,,,46.7249887,12.2096507
4592,12185037731,node,,pylon,,,,,46.7244748,12.2073173
4593,12197125893,node,,pylon,,,,,46.6938574,11.0533177
4594,12200432062,node,,pylon,,,,,46.9451287,11.3822457
4595,12200432063,node,,pylon,,,,,46.9446026,11.3820619
4596,12200432064,node,,pylon,,,,,46.9442041,11.3819227
4597,12200432086,node,,pylon,,,,,46.7951873,11.0870809
4598,12200432087,node,,pylon,,,,,46.7957479,11.0860292
4599,12200432088,node,,pylon,,,,,46.7963615,11.084878
4600,12200432089,node,,pylon,,,,,46.7917698,11.0807514
4601,12200432090,node,,pylon,,,,,46.7920691,11.0814637
4602,12200432091,node,,pylon,,,,,46.7923799,11.0822034
4603,12200432092,node,,pylon,,,,,46.7926703,11.0828944
4604,12200432093,node,,pylon,,,,,46.7929245,11.0834994
4605,12294603455,node,,pylon,,,,,46.4570521,11.6196589
4606,12294603456,node,,pylon,,,,,46.4565273,11.6187259
4607,12463825602,node,,pylon,,,,,46.7710851,12.1061839
4608,12463825603,node,,pylon,,,,,46.7691543,12.1113813
4609,12463825604,node,,pylon,,,,,46.7694915,12.1104815
4610,12463825605,node,,pylon,,,,,46.7698701,12.1094571
4611,12463825606,node,,pylon,,,,,46.7718332,12.1041645
4612,12463825607,node,,pylon,,,,,46.7713985,12.1053311
4613,12463825608,node,,pylon,,,,,46.7706458,12.107376
4614,12463825609,node,,pylon,,,,,46.7701974,12.1085868
4615,12475458213,node,,pylon,,,,,46.5497897,11.8543822
4616,12483509269,node,,pylon,,,,,46.77187,12.1996605
4617,12483509270,node,,pylon,,,,,46.7729726,12.1975662
4618,12483509271,node,,pylon,,,,,46.7724892,12.1984833
4619,12483509272,node,,pylon,,,,,46.7722706,12.1988949
4620,12483509273,node,,pylon,,,,,46.7714813,12.200402
4621,12486343363,node,,pylon,,,,,46.2359937,10.8359896
4622,12486343364,node,,pylon,,,,,46.2373327,10.8338379
4623,12486343365,node,,pylon,,,,,46.2378473,10.8330392
4624,12486343366,node,,pylon,,,,,46.2387009,10.8317141
4625,12486343367,node,,pylon,,,,,46.2389749,10.8312889
4626,12486343368,node,,pylon,,,,,46.2402664,10.829284
4627,12486343369,node,,pylon,,,,,46.2421551,10.8263521
4628,12486343370,node,,pylon,,,,,46.2423615,10.8260316
4629,12486343371,node,,pylon,,,,,46.2435182,10.824236
4630,12486343372,node,,pylon,,,,,46.2446183,10.8225281
4631,12486343373,node,,pylon,,,,,46.2449832,10.8219616
4632,12486343374,node,,pylon,,,,,46.2464666,10.8194743
4633,12486343375,node,,pylon,,,,,46.2479096,10.8173467
4634,12486343376,node,,pylon,,,,,46.2503337,10.8135375
4635,12486390536,node,,pylon,,,,,46.233907,10.8475632
4636,12486390537,node,,pylon,,,,,46.232784,10.8476392
4637,12486390538,node,,pylon,,,,,46.2318802,10.8477003
4638,12486390539,node,,pylon,,,,,46.2306662,10.8477824
4639,12486390540,node,,pylon,,,,,46.2298064,10.8478406
4640,12486390541,node,,pylon,,,,,46.2280638,10.8479585
4641,12486390542,node,,pylon,,,,,46.2273515,10.8480066
